,Category,Item,Description,Price ($)
142,Kulambu,Ennai Kathrika Kulambu (Egg Plant),Gravy in which brinjals are stuffed with flavorful fresh ground masalas and sauteed in oil.,12.95
144,Kulambu,Murungaikai Kulambu (Drumstick),A spicy and tangy tamarind based curry made with drumsticks.,12.95
141,Kulambu,Poondu Kulambu (Garlic),Gravy made with a tamarind based broth and loaded with lots of garlic.,12.95
143,Kulambu,Vendaikai Kulambu (Okra),Tender okra/lady's finger is simmered in tangy tamarind gravy.,11.95
95,Rava Dosas,Cheese Onion Rava Masala Dosa,"Rava Dosa Filled with Cheese, Onions and Seasoned Potato Filling",12.95
96,Rava Dosas,Coconut Rava Masala Dosa,Rava Dosa filled with coconut,11.95
94,Rava Dosas,Madras Rava Masala Dosa,Semolina crepe made with Onion chilli & house spices,11.95
93,Rava Dosas,Onion Mysore Rava Masala Dosa,Semolina crepe made spicy with house spices,11.95
92,Rava Dosas,Onion Rava Masala Dosa,Semolina crepe with mashed spiced potato,11.95
91,Rava Dosas,Rava Sada Dosa,Semolina crepe only,11.95
165,Rice,B.B.B Bishibilabath,A traditional South Indian rice dish with lentils,9.95
167,Rice,Coconut Rice,Rice Cooked with Ground Coconut & Nuts,9.95
159,Rice,Dum Biryani,Goodness of rice and vegetables that comes in layers,11.95
161,Rice,Jeera Rice,Aromatic rice with cumin seeds,9.95
162,Rice,Lemon Rice,Rice Cooked with Lemon Juice & Spices,9.95
163,Rice,Tamarind Rice,Rice Cooked with Tamarind & Spices,9.95
166,Rice,Tomato Rice,Rice Cooked with Tomato & Spices,9.95
164,Rice,Vangi Bhath,"Rice, Lentil & Eggplant Cooked with Spices",9.95
160,Rice,Veg Pullav,"Basmati Rice, Vegetables & Spices",9.95
168,Rice,Yogurt Rice,Rice smothered with Yogurt,9.95
5,Soups And Salad,Garden Salad,"Dressing with lettuce, tomato, cucumber & Carrots",4.95
3,Soups And Salad,Garden Soup,Mixed Vegetables Soup,4.95
4,Soups And Salad,Kachumbar Salad,Chopped salad dressed with a lemon and spicy vinegar,4.95
8,Soups And Salad,Katchumber Salad,"Simple Chopped salad with Onions, Tomato and Cucumber Chips",4.95
2,Soups And Salad,Mulligatawny Soup,Lentil thick soup with pepper & spices,4.95
0,Soups And Salad,Rasam,South Indian spiced Lentil soup,4.95
1,Soups And Salad,Sambar,Lentil based Vegetable soup,4.95
7,Soups And Salad,Tomato Soup,A classic Tomato soup,4.95
6,Soups And Salad,Veg Manchow Soup,South Indian spiced Lentil soup,4.95
125,Tadka Daal Or Palak,Aloo Baingan,Made with diced potatoes and eggplant that have been simmered in a spiced onion tomato,10.95
122,Tadka Daal Or Palak,Baigan Bharta,Roasted eggplant mash cooked with spices,11.95
120,Tadka Daal Or Palak,Bhindi Masala,"Made with okra, whole and ground spices, onions & tomatoes.",11.95
110,Tadka Daal Or Palak,Daal Tadka,Yellow Lentils cooked & spiced with your choice of spinach or no spinach,10.95
121,Tadka Daal Or Palak,Egg Plant Curry,Roasted Eggplant (Brinjal) stars in this strong flavored curry,11.95
117,Tadka Daal Or Palak,Kadai Mushroom,"Hot, spicy, flavorful button mushrooms and bell peppers",12.95
115,Tadka Daal Or Palak,Kadai Paneer,Fresh cheese made by curdling milk with lemon.,12.95
118,Tadka Daal Or Palak,Malai Kofta,"Paneer dumplings served with rich, creamy, and delicious gravy",12.95
116,Tadka Daal Or Palak,Methi Mutter Malai,"Fresh methi leaves with green peas and creamy in a sweet, rich, and creamy curry",12.95
111,Tadka Daal Or Palak,Mutter Paneer,Green peas and homemade cheese cooked with spices,12.95
123,Tadka Daal Or Palak,Nav Ratan Korma,Rich luxurious curry dish made with mixed vegetables,11.95
127,Tadka Daal Or Palak,Palak,A simple spinach curry,10.95
112,Tadka Daal Or Palak,Palak Paneer,Spinach and homemade cheese cooked with spices,12.95
119,Tadka Daal Or Palak,Paneer Bhurji,"Scrambled paneer or cottage cheese with a spiced mixture made of onions, ginger, garlic paste",12.95
114,Tadka Daal Or Palak,Paneer Tikka Masala,Cubes of paneer & veggies marinated with yogurt and spices.,12.95
113,Tadka Daal Or Palak,Saag Paneer,Cooked spinach studded with cubes of fried paneer cheese,12.95
126,Tadka Daal Or Palak,Veg Kolhapuri,Coconut-based extra spicy curry with vegetables,10.95
124,Tadka Daal Or Palak,Vegetable Korma (Vegan),"Loaded with potatoes, tomatoes, carrots, peas, and green beans",11.95
90,Uthappam,Custom Uthappam,(Ask for any type of topping available in store),12.95
87,Uthappam,Gun Powder Uthappam,Topped with Dosa Podi & Gunpowder,10.95
85,Uthappam,Mushroom Uthappam,Topped with Onion & Sliced mushroom,10.95
86,Uthappam,Onion Chilli Garlic Uthappam,"Topped with Chilli, Tomato & Garlic",10.95
84,Uthappam,Onion Chilli Uthappam,Topped with Onion & Green Chilli,10.95
89,Uthappam,Paneer Uthappam,Topped with sliced paneer,11.95
82,Uthappam,Plain Uthappam,Lentil and Rice Flour Pancake,8.95
88,Uthappam,Vegetable Cheese Uthappam,"Topped with Onion, Tomato, Peas, Carrots & Cheese",11.95
83,Uthappam,Vegetable Uthappam,Thick rice pancakes topped with vegetables looks like Pizza no cheese,9.95
105,Vegetable Curries,Aloo,Simple potato curry,10.95
101,Vegetable Curries,Aloo Gobi Or Mutter Or Palak,"Potato & Creamed Spinach, Green Pea, Cauliflower Mildly Spiced Tomato Sauce",11.95
109,Vegetable Curries,Alu Baingan,Made with diced potatoes and eggplant that have been simmered in a spiced sauce,11.95
103,Vegetable Curries,Chana Masala,"Chickpea, Onion & Masala Spices",11.95
104,Vegetable Curries,Chana Palak,Spinach and chickpeas cooked with spices,11.95
108,Vegetable Curries,Daal Tadka / Palak,Yellow Lentils cooked and spiced with your choice of Spinach or no Spinach,11.95
107,Vegetable Curries,Dal Makhni,Rich and creamy lentils cooked with butter and spices,11.95
102,Vegetable Curries,Gobi Mutter Or Aloo,Fresh Cauliflower cooked in Onion base Sauce,11.95
106,Vegetable Curries,Mutter,"Potato & Creamed Spinach, Green Pea, Cauliflower Mildly Spiced Tomato Sauce",10.95
40,Village Chats,Aloo Chat,"Potato in a Yogurt, Tamarind, Cilantro, Onion, Tomato Sauce.",6.95
36,Village Chats,Aloo Tikki Chat,"Aloo tikkis topped with chickpeas, onions, Tomato, yogurt, chutney and spices.",6.95
34,Village Chats,Bhel Puri,"Crispy rice puffs topped with onions, Tomato chutney and spices.",6.95
39,Village Chats,Channa Chat,"Chickpeas in Yogurt, Tamarind, Cilantro, Onion, Tomato Sauce.",6.95
38,Village Chats,Dahi Bhalla,Soft lentil balls dipped in spiced yogurt topped with chutney.,6.95
37,Village Chats,Papdi Chat,"Crispy pooris topped chana, onions, Tomato, yogurt, chutney and spices.",6.95
35,Village Chats,Samosa Chat,"Samosas topped with chickpeas, onions, Tomato, yogurt, chutney and spices.",6.95
41,Village Chats,Vadda Pav,Spiced bread-based snack with savory flavors.,6.95
98,Village Dosas,Jinni Dosa,Dosa cooked & rolled with paneer sauce with vegetables,14.95
97,Village Dosas,Matka Dosa,"Mix veg cooked with paneer, cream & mayonnaise & Cheese",14.95
99,Village Dosas,Village Special Dosa- Rava,Dosa cooked with garlic/chilli/onion & cheese,14.95
100,Village Dosas,Village Special Dosa- Regular,Dosa cooked with garlic/chilli/onion & cheese,14.95
137,Village Specials,Avial,"Mixed vegetables cooked with coconut milk, Yogurt and Spices",11.95
138,Village Specials,Chilli Paratha,"Indian Layered Bread Chopped & Cooked with Chinese sauce, Ginger & Garlic",10.95
132,Village Specials,Chole Bature,Large Puffed Bread with Spicy Chickpeas,12.95
139,Village Specials,Chole Poori,Large Puffed Bread with Spicy Chickpeas,12.95
140,Village Specials,Kuthu Chilli Paratha,"Indian Layered Bread Chopped & cooked with Chinese sauce, ginger & garlic",11.95
136,Village Specials,Pongal,"Rice, Lentil, Spices, Nuts & Butter Served with Coconut Chutney & Sambar",8.95
133,Village Specials,Poori Bhaji,"Spiced aloo sabji or bhaji with hints of coriander, ginger and other Indian spices",8.95
134,Village Specials,Poori Kurma,Indian curry served with poori,11.95
135,Village Specials,Uppma,"Semolina with Onion, Cashews, Chilli with Indian Spices",8.95
145,Village Thali,Chennai Thali,"Idly, Vada, Dosa, Uthappam, Sambar, Chutney, Badam Halwa",15.95
147,Village Thali,North Indian Thali,"Chole, Daal, Any Paneer – Rice, Roti, Pickle, Raita, Kheer / Pappad",15.95
146,Village Thali,South Indian Thali,"Sambar, Rasam, Kulambu, Kootu Avial, Poriyal, Pickle Yogurt, Pappadam, Rice, Semiya Payasam",15.95
